book_links,book_title,book_author,book_prices,book_img_urls
https://diwanegypt.com/product/%d8%a7%d8%a8%d8%aa%d8%b3%d9%85-%d9%84%d8%a3%d9%83%d9%88%d9%86-%d8%a3%d9%82%d9%88%d9%89/,ابتسم لأكون أقوى,شيرين سامى,EGP62.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789770937747-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%aa%d8%b7%d8%a8%d9%82-%d8%a7%d9%84%d8%b4%d8%b1%d9%88%d8%b7-%d9%88%d8%a7%d9%84%d8%a3%d8%ad%d9%83%d8%a7%d9%85/,تطبق الشروط والأحكام,مريم أحمد علي,EGP75.00,https://diwanegypt.com/wp-content/uploads/2022/11/9789776963009-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%a8%d8%a7%d8%a8%d8%a7-%d8%aa%d9%88%d8%a7%d8%b6%d8%b1%d9%88%d8%b3-%d8%a7%d9%84%d8%ab%d8%a7%d9%86%d9%8a_%d8%b3%d9%86%d9%88%d8%a7%d8%aa-%d9%85%d9%86/,البابا تواضروس الثاني_سنوات من المحبة لله والوطن,البابا تواضروس الثانى,EGP300.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789777953870-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d8%b9%d8%b1%d9%81-%d9%88%d8%ac%d9%87%d9%83-%d8%a7%d9%84%d8%a7%d8%ae%d8%b1/,اعرف وجهك الآخر,يوسف الحسنى,EGP145.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972537-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a2%d9%86-%d9%81%d9%8a-%d8%a3%d9%81%d9%88%d9%86%d9%84%d9%8a%d8%a7/,آن في أفونليا,لوسي مود ومونتغمري,EGP120.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972483-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%8a%d9%88%d9%85-%d8%a3%d8%ac%d9%85%d9%84/,اليوم أجمل,علي السليماني,EGP110.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972438-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b9%d9%84%d9%89-%d8%ae%d8%b7%d9%8a-%d8%a5%d8%a8%d8%b1%d8%a7%d9%87%d9%8a%d9%85/,على خطى إبراهيم,كفاح ابو هنود,EGP95.00,https://diwanegypt.com/wp-content/uploads/2022/10/9789776972346-450x600.jpg
,,,,
